454e5553, EN-US -> 00000409
454e4742, EN-GB -> 00000809
454e4155, EN-AU -> 00000c09
454e4341, EN-CA -> 00001009
454e4e5a, EN-NZ -> 00001409
454e4945, EN-IE -> 00001809
454e5a41, EN-ZA -> 00001c09
454e4a4d, EN-JM -> 00002009
454e4342, EN-CB -> 00002409
454e425a, EN-BZ -> 00002809
454e5454, EN-TT -> 00002c09
42474247, BG-BG -> 00000402
4353435a, CS-CZ -> 00000405
4441444b, DA-DK -> 00000406
44454445, DE-DE -> 00000407
44454348, DE-CH -> 00000807
44454154, DE-AT -> 00000c07
44454c55, DE-LU -> 00001007
44454c49, DE-LI -> 00001407
454c4752, EL-GR -> 00000408
45534553, ES-ES -> 0000040a
45534d58, ES-MX -> 0000080a
45534553, ES-ES -> 00000c0a
45534754, ES-GT -> 0000100a
45534352, ES-CR -> 0000140a
45535041, ES-PA -> 0000180a
4553444f, ES-DO -> 00001c0a
45535645, ES-VE -> 0000200a
4553434f, ES-CO -> 0000240a
45535045, ES-PE -> 0000280a
45534152, ES-AR -> 00002c0a
45534543, ES-EC -> 0000300a
4553434c, ES-CL -> 0000340a
45535559, ES-UY -> 0000380a
45535059, ES-PY -> 00003c0a
4553424f, ES-BO -> 0000400a
45535356, ES-SV -> 0000440a
4553484e, ES-HN -> 0000480a
45534e49, ES-NI -> 00004c0a
45535052, ES-PR -> 0000500a
46494649, FI-FI -> 0000040b
46524652, FR-FR -> 0000040c
46524245, FR-BE -> 0000080c
46524341, FR-CA -> 00000c0c
46524348, FR-CH -> 0000100c
46524c55, FR-LU -> 0000140c
48554855, HU-HU -> 0000040e
49534953, IS-IS -> 0000040f
49544954, IT-IT -> 00000410
49544348, IT-CH -> 00000810
4e4c4e4c, NL-NL -> 00000413
4e4c4245, NL-BE -> 00000813
4e4f4e4f, NO-NO -> 00000414
4e4f4e4f, NO-NO -> 00000814
504c504c, PL-PL -> 00000415
50544252, PT-BR -> 00000416
50545054, PT-PT -> 00000816
524f524f, RO-RO -> 00000418
52555255, RU-RU -> 00000419
48524852, HR-HR -> 0000041a
53525350, SR-SP -> 0000081a
53525350, SR-SP -> 00000c1a
534b534b, SK-SK -> 0000041b
53565345, SV-SE -> 0000041d
53564649, SV-FI -> 0000081d
54525452, TR-TR -> 0000041f
534c5349, SL-SI -> 00000424
41465a41, AF-ZA -> 00000436
5351414c, SQ-AL -> 0000041c
45554553, EU-ES -> 0000042d
42454259, BE-BY -> 00000423
43414553, CA-ES -> 00000403
45544545, ET-EE -> 00000425
464f464f, FO-FO -> 00000438
49444944, ID-ID -> 00000421
4c564c56, LV-LV -> 00000426
4c544c54, LT-LT -> 00000427
554b5541, UK-UA -> 00000422
