* /home/cxl/upp/out/GCC.Force_speed/StableSort 10.04.2008 12:24:03, user: cxl

TIMING L std::stable_sort std::string:   1.7 s  -  16.5 ms (  1.7 s  / 100 ), min:  16.0 ms, max:  18.0 ms, nesting: 1 - 100
TIMING L std::sort std::string:   1.2 s  -  11.6 ms (  1.2 s  / 100 ), min:  11.0 ms, max:  13.0 ms, nesting: 1 - 100
TIMING L std::stable_sort String: 835.8 ms -   8.4 ms (836.0 ms / 100 ), min:   8.0 ms, max:   9.0 ms, nesting: 1 - 100
TIMING L std::sort String: 802.8 ms -   8.0 ms (803.0 ms / 100 ), min:   7.0 ms, max:   9.0 ms, nesting: 1 - 100
TIMING L StableSort   :   1.1 s  -  11.3 ms (  1.1 s  / 100 ), min:  11.0 ms, max:  12.0 ms, nesting: 1 - 100
TIMING L GetSortOrder : 660.8 ms -   6.6 ms (661.0 ms / 100 ), min:   6.0 ms, max:   7.0 ms, nesting: 1 - 100
TIMING L Sort         : 641.8 ms -   6.4 ms (642.0 ms / 100 ), min:   6.0 ms, max:   7.0 ms, nesting: 1 - 100
TIMING X std::stable_sort std::string:   1.4 s  -  13.8 ms (  1.4 s  / 100 ), min:  13.0 ms, max:  15.0 ms, nesting: 1 - 100
TIMING X std::sort std::string: 488.8 ms -   4.9 ms (489.0 ms / 100 ), min:   4.0 ms, max:   6.0 ms, nesting: 1 - 100
TIMING X std::stable_sort String: 226.8 ms -   2.3 ms (227.0 ms / 100 ), min:   2.0 ms, max:   3.0 ms, nesting: 1 - 100
TIMING X std::sort String: 211.8 ms -   2.1 ms (212.0 ms / 100 ), min:   2.0 ms, max:   3.0 ms, nesting: 1 - 100
TIMING X Array QStableSortCmp: 411.8 ms -   4.1 ms (412.0 ms / 100 ), min:   4.0 ms, max:   5.0 ms, nesting: 1 - 100
TIMING X Array QStableSort: 405.8 ms -   4.1 ms (406.0 ms / 100 ), min:   4.0 ms, max:   5.0 ms, nesting: 1 - 100
TIMING X Array NewStableSort: 304.8 ms -   3.0 ms (305.0 ms / 100 ), min:   3.0 ms, max:   4.0 ms, nesting: 1 - 100
TIMING X Array StableSort: 369.8 ms -   3.7 ms (370.0 ms / 100 ), min:   3.0 ms, max:   4.0 ms, nesting: 1 - 100
